X,Main_Tumor,Outermost,Lowesr_boundary_point
396,35,161,30
397,32,161,30
398,31,162,30
399,30,162,30
400,30,153,30
401,30,153,30
402,30,150,30
403,32,121,30
404,32,139,30
405,32,139,30
406,32,139,30
407,32,141,30
408,33,141,30
409,33,138,30
410,33,137,30
411,33,140,30
412,34,138,30
413,34,34,30
414,34,34,30
415,34,34,30
416,35,99,30
417,35,121,30
418,35,125,30
419,36,121,30
420,39,118,30
421,40,130,30
422,43,130,30
423,44,132,30
424,69,150,30
425,71,151,30
426,71,152,30
427,71,131,30
428,70,130,30
429,70,140,30
430,70,142,30
431,69,143,30
432,69,142,30
433,63,143,30
434,53,107,30
435,53,105,30
436,51,51,30
437,51,51,30
438,51,51,30
439,51,121,30
440,51,121,30
441,52,121,30
442,53,120,30
443,54,120,30
444,54,138,30
445,79,137,30
446,82,138,30
447,78,137,30
448,78,91,30
449,79,92,30
450,80,105,30
451,80,106,30
452,80,105,30
453,80,105,30
454,77,107,30
455,76,134,30
456,76,133,30
457,73,147,30
458,72,151,30
459,65,151,30
460,65,151,30
461,65,148,30
462,65,129,30
463,67,129,30
464,68,92,30
465,68,68,30
466,72,72,30
467,82,82,30
468,83,83,30
469,82,130,30
470,82,131,30
471,81,131,30
472,82,130,30
473,82,130,30
474,84,129,30
475,85,85,30
476,83,83,30
477,82,82,30
478,89,89,30
479,89,113,30
480,88,137,30
481,89,138,30
482,90,138,30
483,93,139,30
484,92,137,30
485,93,140,30
486,84,113,30
487,39,137,30
488,39,137,30
489,40,138,30
490,40,136,30
491,40,40,30
492,42,100,30
493,42,143,30
494,42,144,30
495,40,141,30
496,40,141,30
497,40,140,30
498,39,39,30
499,40,63,30
