X,Main_Tumor,Outermost,Lowesr_boundary_point
396,41,41,34
397,41,41,34
398,41,41,34
399,40,40,34
400,41,41,34
401,41,41,34
402,41,41,34
403,42,42,34
404,43,43,34
405,43,43,34
406,42,42,34
407,42,42,34
408,42,42,34
409,42,42,34
410,43,43,34
411,42,42,34
412,41,41,34
413,42,42,34
414,43,43,34
415,43,43,34
416,42,42,34
417,42,42,34
418,41,41,34
419,41,41,34
420,41,41,34
421,41,41,34
422,41,41,34
423,41,41,34
424,41,41,34
425,41,41,34
426,41,41,34
427,41,41,34
428,42,42,34
429,42,42,34
430,42,42,34
431,42,42,34
432,43,43,34
433,43,43,34
434,43,43,34
435,43,43,34
436,41,41,34
437,40,40,34
438,40,40,34
439,40,40,34
440,39,39,34
441,39,39,34
442,38,38,34
443,37,37,34
444,38,38,34
445,39,39,34
446,40,40,34
447,40,40,34
448,41,41,34
449,41,41,34
450,40,40,34
451,40,40,34
452,41,41,34
453,42,42,34
454,42,42,34
455,42,42,34
456,41,41,34
457,40,40,34
458,39,39,34
459,39,39,34
460,39,39,34
461,39,39,34
462,39,39,34
463,39,39,34
464,41,41,34
465,41,41,34
466,41,41,34
467,40,40,34
468,41,41,34
469,40,40,34
470,40,40,34
471,40,40,34
472,41,41,34
473,41,41,34
474,40,40,34
475,40,40,34
476,40,40,34
477,41,41,34
478,41,41,34
479,40,40,34
480,40,40,34
481,40,40,34
482,39,39,34
483,36,36,34
484,36,36,34
485,36,36,34
486,36,36,34
487,36,36,34
488,36,36,34
489,36,36,34
490,37,37,34
491,39,39,34
492,39,39,34
493,39,39,34
494,40,40,34
495,41,41,34
496,42,42,34
497,42,42,34
498,42,42,34
499,42,42,34
