MCS,Invasive Area,Infiltrative Area,Fingers,Single Defects,Detached Cells,Clusters
0,499.0,499.0,0,0,0,0
100,1327.0,1327.0,0,0,0,0
200,2044.0,2044.0,0,0,0,0
300,1711.0,1711.0,0,0,0,0
400,2002.5,2002.5,0,0,0,0
500,1547.5,1547.5,0,0,0,0
600,2136.0,2136.0,0,0,0,0
700,3285.0,3285.0,0,0,0,0
