MCS,Invasive Area,Infiltrative Area,Fingers,Single Defects,Detached Cells,Clusters
0,502.0,502.0,0,0,0,0
100,2838.0,2987.0,5,4,4,0
200,4205.5,5342.5,7,29,29,0
300,5979.0,9401.0,10,62,66,0
400,7781.0,15754.0,11,110,112,0
500,11455.5,25281.5,13,153,161,2
600,14160.5,35713.0,13,187,215,4
700,13774.0,44153.0,12,218,271,9
