MCS,Leader Cells,Follower Cells,Total
133,390,1169,1559
134,390,1169,1559
135,390,1169,1559
136,390,1169,1559
137,390,1169,1559
138,390,1169,1559
139,390,1169,1559
140,390,1169,1559
141,390,1169,1559
142,390,1169,1559
143,390,1169,1559
144,390,1169,1559
145,390,1169,1559
146,390,1169,1559
147,390,1169,1559
148,390,1169,1559
149,390,1169,1559
150,390,1169,1559
151,390,1169,1559
152,390,1169,1559
153,390,1169,1559
154,390,1169,1559
155,390,1169,1559
156,390,1169,1559
157,390,1169,1559
158,390,1169,1559
159,390,1169,1559
160,390,1169,1559
161,390,1169,1559
162,390,1169,1559
163,390,1169,1559
164,390,1169,1559
165,390,1169,1559
166,390,1169,1559
167,390,1169,1559
168,390,1169,1559
169,390,1169,1559
170,390,1169,1559
171,390,1169,1559
172,390,1169,1559
173,390,1169,1559
174,390,1169,1559
175,390,1169,1559
176,390,1169,1559
177,390,1169,1559
178,390,1169,1559
179,390,1169,1559
180,390,1169,1559
181,390,1169,1559
182,390,1169,1559
183,390,1169,1559
184,390,1169,1559
185,390,1169,1559
186,390,1169,1559
187,390,1169,1559
188,390,1169,1559
189,390,1169,1559
190,390,1169,1559
191,390,1169,1559
192,390,1169,1559
193,390,1169,1559
194,390,1169,1559
195,390,1169,1559
196,390,1169,1559
197,390,1169,1559
198,390,1169,1559
199,390,1169,1559
200,390,1169,1559
201,390,1169,1559
202,390,1169,1559
203,390,1169,1559
204,390,1169,1559
205,390,1169,1559
206,390,1169,1559
207,390,1169,1559
208,390,1169,1559
209,390,1169,1559
210,390,1169,1559
211,390,1169,1559
212,390,1169,1559
213,390,1169,1559
214,390,1169,1559
215,390,1169,1559
216,390,1169,1559
217,390,1169,1559
218,390,1169,1559
219,390,1169,1559
220,390,1169,1559
221,390,1169,1559
222,390,1169,1559
223,390,1169,1559
224,390,1169,1559
225,390,1169,1559
226,390,1169,1559
227,390,1169,1559
228,390,1169,1559
229,390,1169,1559
230,390,1169,1559
231,390,1169,1559
232,390,1169,1559
233,390,1169,1559
234,390,1169,1559
235,390,1169,1559
236,390,1169,1559
237,390,1169,1559
238,390,1169,1559
239,390,1169,1559
240,390,1169,1559
241,390,1169,1559
242,390,1169,1559
243,390,1169,1559
244,390,1169,1559
245,390,1169,1559
246,390,1169,1559
247,390,1169,1559
248,390,1169,1559
249,390,1169,1559
250,390,1169,1559
251,390,1169,1559
252,390,1169,1559
253,390,1169,1559
254,390,1169,1559
255,390,1169,1559
256,390,1169,1559
257,390,1169,1559
258,390,1169,1559
259,390,1169,1559
260,390,1169,1559
261,390,1169,1559
262,390,1169,1559
263,390,1169,1559
264,390,1169,1559
265,390,1169,1559
266,390,1169,1559
267,390,1169,1559
268,390,1169,1559
269,390,1169,1559
270,390,1169,1559
271,390,1169,1559
272,390,1169,1559
273,390,1169,1559
274,390,1169,1559
275,390,1169,1559
276,390,1169,1559
277,390,1169,1559
278,390,1169,1559
279,390,1169,1559
280,390,1169,1559
281,390,1169,1559
282,390,1169,1559
283,390,1169,1559
284,390,1169,1559
285,390,1169,1559
286,390,1169,1559
287,390,1169,1559
288,390,1169,1559
289,390,1169,1559
290,390,1169,1559
291,390,1169,1559
292,390,1169,1559
293,390,1169,1559
294,390,1169,1559
295,390,1169,1559
296,390,1169,1559
297,390,1169,1559
298,390,1169,1559
299,390,1169,1559
300,390,1169,1559
301,390,1169,1559
302,390,1169,1559
303,390,1169,1559
304,390,1169,1559
305,390,1169,1559
306,390,1169,1559
307,390,1169,1559
308,390,1169,1559
309,390,1169,1559
310,390,1169,1559
311,390,1169,1559
312,390,1169,1559
313,390,1169,1559
314,390,1169,1559
315,390,1169,1559
316,390,1169,1559
317,390,1169,1559
318,390,1169,1559
319,390,1169,1559
320,390,1169,1559
321,390,1169,1559
322,390,1169,1559
323,390,1169,1559
324,390,1169,1559
325,390,1169,1559
326,390,1169,1559
327,390,1169,1559
328,390,1169,1559
329,390,1169,1559
330,390,1169,1559
331,390,1169,1559
332,390,1169,1559
333,390,1169,1559
334,390,1169,1559
335,390,1169,1559
336,390,1169,1559
337,390,1169,1559
338,390,1169,1559
339,390,1169,1559
340,390,1169,1559
341,390,1169,1559
342,390,1169,1559
343,390,1169,1559
344,390,1169,1559
345,390,1169,1559
346,390,1169,1559
347,390,1169,1559
348,390,1169,1559
349,390,1169,1559
350,390,1169,1559
351,390,1169,1559
352,390,1169,1559
353,390,1169,1559
354,390,1169,1559
355,390,1169,1559
356,390,1169,1559
357,390,1169,1559
358,390,1169,1559
359,390,1169,1559
360,390,1169,1559
361,390,1169,1559
362,390,1169,1559
363,390,1169,1559
364,390,1169,1559
365,390,1169,1559
366,390,1169,1559
367,390,1169,1559
368,390,1169,1559
369,390,1169,1559
370,390,1169,1559
371,390,1169,1559
372,390,1169,1559
373,390,1169,1559
374,390,1169,1559
375,390,1169,1559
376,390,1169,1559
377,390,1169,1559
378,390,1169,1559
379,390,1169,1559
380,390,1169,1559
381,390,1169,1559
382,390,1169,1559
383,390,1169,1559
384,390,1169,1559
385,390,1169,1559
386,390,1169,1559
387,390,1169,1559
388,390,1169,1559
389,390,1169,1559
390,390,1169,1559
391,390,1169,1559
392,390,1169,1559
393,390,1169,1559
394,390,1169,1559
395,390,1169,1559
396,390,1169,1559
397,390,1169,1559
398,390,1169,1559
399,390,1169,1559
400,390,1169,1559
401,390,1169,1559
402,390,1169,1559
403,390,1169,1559
404,390,1169,1559
405,390,1169,1559
406,390,1169,1559
407,390,1169,1559
408,390,1169,1559
409,390,1169,1559
410,390,1169,1559
411,390,1169,1559
412,390,1169,1559
413,390,1169,1559
414,390,1169,1559
415,390,1169,1559
416,390,1169,1559
417,390,1169,1559
418,390,1169,1559
419,390,1169,1559
420,390,1169,1559
421,390,1169,1559
422,390,1169,1559
423,390,1169,1559
424,390,1169,1559
425,390,1169,1559
426,390,1169,1559
427,390,1169,1559
428,390,1169,1559
429,390,1169,1559
430,390,1169,1559
431,390,1169,1559
432,390,1169,1559
433,390,1169,1559
434,390,1169,1559
435,390,1169,1559
436,390,1169,1559
437,390,1169,1559
438,390,1169,1559
439,390,1169,1559
440,390,1169,1559
441,390,1169,1559
442,390,1169,1559
443,390,1169,1559
444,390,1169,1559
445,390,1169,1559
446,390,1169,1559
447,390,1169,1559
448,390,1169,1559
449,390,1169,1559
450,390,1169,1559
451,390,1169,1559
452,390,1169,1559
453,390,1169,1559
454,390,1169,1559
455,390,1169,1559
456,390,1169,1559
457,390,1169,1559
458,390,1169,1559
459,390,1169,1559
460,390,1169,1559
461,390,1169,1559
462,390,1169,1559
463,390,1169,1559
464,390,1169,1559
465,390,1169,1559
466,390,1169,1559
467,390,1169,1559
468,390,1169,1559
469,390,1169,1559
470,390,1169,1559
471,390,1169,1559
472,390,1169,1559
473,390,1169,1559
474,390,1169,1559
475,390,1169,1559
476,390,1169,1559
477,390,1169,1559
478,390,1169,1559
479,390,1169,1559
480,390,1169,1559
481,390,1169,1559
482,390,1169,1559
483,390,1169,1559
484,390,1169,1559
485,390,1169,1559
486,390,1169,1559
487,390,1169,1559
488,390,1169,1559
489,390,1169,1559
490,390,1169,1559
491,390,1169,1559
492,390,1169,1559
493,390,1169,1559
494,390,1169,1559
495,390,1169,1559
496,390,1169,1559
497,390,1169,1559
498,390,1169,1559
499,390,1169,1559
500,390,1169,1559
501,390,1169,1559
502,390,1169,1559
503,390,1169,1559
504,390,1169,1559
505,390,1169,1559
506,390,1169,1559
507,390,1169,1559
508,390,1169,1559
509,390,1169,1559
510,390,1169,1559
511,390,1169,1559
512,390,1169,1559
513,390,1169,1559
514,390,1169,1559
515,390,1169,1559
516,390,1169,1559
517,390,1169,1559
518,390,1169,1559
519,390,1169,1559
520,390,1169,1559
521,390,1169,1559
522,390,1169,1559
523,390,1169,1559
524,390,1169,1559
525,390,1169,1559
526,390,1169,1559
527,390,1169,1559
528,390,1169,1559
529,390,1169,1559
530,390,1169,1559
531,390,1169,1559
532,390,1169,1559
533,390,1169,1559
534,390,1169,1559
535,390,1169,1559
536,390,1169,1559
537,390,1169,1559
538,390,1169,1559
539,390,1169,1559
540,390,1169,1559
541,390,1169,1559
542,390,1169,1559
543,390,1169,1559
544,390,1169,1559
545,390,1169,1559
546,390,1169,1559
547,390,1169,1559
548,390,1169,1559
549,390,1169,1559
550,390,1169,1559
551,390,1169,1559
552,390,1169,1559
553,390,1169,1559
554,390,1169,1559
555,390,1169,1559
556,390,1169,1559
557,390,1169,1559
558,390,1169,1559
559,390,1169,1559
560,390,1169,1559
561,390,1169,1559
562,390,1169,1559
563,390,1169,1559
564,390,1169,1559
565,390,1169,1559
566,390,1169,1559
567,390,1169,1559
568,390,1169,1559
569,390,1169,1559
570,390,1169,1559
571,390,1169,1559
572,390,1169,1559
573,390,1169,1559
574,390,1169,1559
575,390,1169,1559
576,390,1169,1559
577,390,1169,1559
578,390,1169,1559
579,390,1169,1559
580,390,1169,1559
581,390,1169,1559
582,390,1169,1559
583,390,1169,1559
584,390,1169,1559
585,390,1169,1559
586,390,1169,1559
587,390,1169,1559
588,390,1169,1559
589,390,1169,1559
590,390,1169,1559
591,390,1169,1559
592,390,1169,1559
593,390,1169,1559
594,390,1169,1559
595,390,1169,1559
596,390,1169,1559
597,390,1169,1559
598,390,1169,1559
599,390,1169,1559
600,390,1169,1559
601,390,1169,1559
602,390,1169,1559
603,390,1169,1559
604,390,1169,1559
605,390,1169,1559
606,390,1169,1559
607,390,1169,1559
608,390,1169,1559
609,390,1169,1559
610,390,1169,1559
611,390,1169,1559
612,390,1169,1559
613,390,1169,1559
614,390,1169,1559
615,390,1169,1559
616,390,1169,1559
617,390,1169,1559
618,390,1169,1559
619,390,1169,1559
620,390,1169,1559
621,390,1169,1559
622,390,1169,1559
623,390,1169,1559
624,390,1169,1559
625,390,1169,1559
626,390,1169,1559
627,390,1169,1559
628,390,1169,1559
629,390,1169,1559
630,390,1169,1559
631,390,1169,1559
632,390,1169,1559
633,390,1169,1559
634,390,1169,1559
635,390,1169,1559
636,390,1169,1559
637,390,1169,1559
638,390,1169,1559
639,390,1169,1559
640,390,1169,1559
641,390,1169,1559
642,390,1169,1559
643,390,1169,1559
644,390,1169,1559
645,390,1169,1559
646,390,1169,1559
647,390,1169,1559
648,390,1169,1559
649,390,1169,1559
650,390,1169,1559
651,390,1169,1559
652,390,1169,1559
653,390,1169,1559
654,390,1169,1559
655,390,1169,1559
656,390,1169,1559
657,390,1169,1559
658,390,1169,1559
659,390,1169,1559
660,390,1169,1559
661,390,1169,1559
662,390,1169,1559
663,390,1169,1559
664,390,1169,1559
665,390,1169,1559
666,390,1169,1559
667,390,1169,1559
668,390,1169,1559
669,390,1169,1559
670,390,1169,1559
671,390,1169,1559
672,390,1169,1559
673,390,1169,1559
674,390,1169,1559
675,390,1169,1559
676,390,1169,1559
677,390,1169,1559
678,390,1169,1559
679,390,1169,1559
680,390,1169,1559
681,390,1169,1559
682,390,1169,1559
683,390,1169,1559
684,390,1169,1559
685,390,1169,1559
686,390,1169,1559
687,390,1169,1559
688,390,1169,1559
689,390,1169,1559
690,390,1169,1559
691,390,1169,1559
692,390,1169,1559
693,390,1169,1559
694,390,1169,1559
695,390,1169,1559
696,390,1169,1559
697,390,1169,1559
698,390,1169,1559
699,390,1169,1559
700,390,1169,1559
