MCS,Invasive Area,Infiltrative Area,Fingers,Single Defects,Detached Cells,Clusters
0,509.0,509.0,0,0,0,0
100,2790.0,2790.0,2,0,0,0
200,3635.0,3635.0,5,0,0,0
300,3958.5,3958.5,7,0,0,0
400,5093.5,5093.5,8,0,0,0
500,5443.0,5443.0,11,0,0,0
600,5854.5,5854.5,8,0,0,0
700,6770.5,6770.5,12,0,0,0
