MCS,Leader Cells,Follower Cells,Total
277,390,1170,1560
278,390,1170,1560
279,390,1170,1560
280,390,1170,1560
281,390,1170,1560
282,390,1170,1560
283,390,1170,1560
284,390,1170,1560
285,390,1170,1560
286,390,1170,1560
287,390,1170,1560
288,390,1170,1560
289,390,1170,1560
290,390,1170,1560
291,390,1170,1560
292,390,1170,1560
293,390,1170,1560
294,390,1170,1560
295,390,1170,1560
296,390,1170,1560
297,390,1170,1560
298,390,1170,1560
299,390,1170,1560
300,390,1170,1560
301,390,1170,1560
302,390,1170,1560
303,390,1170,1560
304,390,1170,1560
305,390,1170,1560
306,390,1170,1560
307,390,1170,1560
308,390,1170,1560
309,390,1170,1560
310,390,1170,1560
311,390,1170,1560
312,390,1170,1560
313,390,1170,1560
314,390,1170,1560
315,390,1171,1561
316,390,1171,1561
317,390,1171,1561
318,390,1172,1562
319,390,1172,1562
320,390,1172,1562
321,390,1172,1562
322,390,1172,1562
323,390,1172,1562
324,390,1173,1563
325,390,1173,1563
326,390,1173,1563
327,390,1173,1563
328,390,1173,1563
329,390,1173,1563
330,390,1173,1563
331,390,1173,1563
332,390,1173,1563
333,390,1173,1563
334,390,1173,1563
335,390,1173,1563
336,390,1173,1563
337,390,1173,1563
338,390,1173,1563
339,390,1173,1563
340,390,1173,1563
341,390,1173,1563
342,390,1173,1563
343,390,1173,1563
344,390,1173,1563
345,390,1173,1563
346,390,1173,1563
347,390,1173,1563
348,390,1173,1563
349,390,1173,1563
350,390,1174,1564
351,390,1174,1564
352,390,1174,1564
353,390,1174,1564
354,390,1174,1564
355,390,1174,1564
356,390,1174,1564
357,390,1174,1564
358,390,1174,1564
359,390,1174,1564
360,390,1174,1564
361,390,1174,1564
362,390,1174,1564
363,390,1174,1564
364,390,1175,1565
365,390,1175,1565
366,390,1175,1565
367,390,1175,1565
368,390,1175,1565
369,390,1175,1565
370,390,1175,1565
371,390,1175,1565
372,390,1175,1565
373,390,1175,1565
374,390,1175,1565
375,390,1175,1565
376,390,1175,1565
377,390,1175,1565
378,390,1175,1565
379,390,1175,1565
380,390,1175,1565
381,390,1175,1565
382,390,1175,1565
383,390,1175,1565
384,390,1175,1565
385,390,1176,1566
386,390,1176,1566
387,390,1176,1566
388,390,1176,1566
389,390,1176,1566
390,390,1176,1566
391,390,1176,1566
392,390,1176,1566
393,390,1177,1567
394,390,1177,1567
395,390,1177,1567
396,390,1177,1567
397,390,1177,1567
398,390,1177,1567
399,390,1177,1567
400,390,1177,1567
401,390,1177,1567
402,390,1177,1567
403,390,1177,1567
404,390,1177,1567
405,390,1177,1567
406,390,1177,1567
407,390,1177,1567
408,390,1177,1567
409,390,1177,1567
410,390,1177,1567
411,390,1177,1567
412,390,1177,1567
413,390,1178,1568
414,390,1178,1568
415,390,1178,1568
416,390,1178,1568
417,390,1178,1568
418,390,1178,1568
419,390,1178,1568
420,390,1178,1568
421,390,1178,1568
422,390,1178,1568
423,390,1178,1568
424,390,1178,1568
425,390,1178,1568
426,390,1178,1568
427,390,1178,1568
428,390,1178,1568
429,390,1178,1568
430,390,1178,1568
431,390,1178,1568
432,390,1178,1568
433,390,1178,1568
434,390,1178,1568
435,390,1178,1568
436,390,1178,1568
437,390,1178,1568
438,390,1178,1568
439,390,1178,1568
440,390,1178,1568
441,390,1178,1568
442,390,1179,1569
443,390,1179,1569
444,390,1179,1569
445,390,1179,1569
446,390,1180,1570
447,390,1180,1570
448,390,1180,1570
449,390,1180,1570
450,390,1180,1570
451,390,1180,1570
452,390,1180,1570
453,390,1180,1570
454,390,1180,1570
455,390,1181,1571
456,390,1181,1571
457,390,1181,1571
458,390,1181,1571
459,390,1181,1571
460,390,1181,1571
461,390,1181,1571
462,390,1181,1571
463,390,1181,1571
464,390,1182,1572
465,390,1182,1572
466,390,1183,1573
467,390,1183,1573
468,390,1183,1573
469,390,1183,1573
470,390,1183,1573
471,390,1184,1574
472,390,1184,1574
473,390,1184,1574
474,390,1186,1576
475,390,1186,1576
476,390,1186,1576
477,390,1186,1576
478,390,1186,1576
479,390,1186,1576
480,390,1187,1577
481,390,1187,1577
482,390,1187,1577
483,390,1187,1577
484,390,1188,1578
485,390,1188,1578
486,390,1189,1579
487,390,1190,1580
488,390,1190,1580
489,390,1191,1581
490,390,1191,1581
491,390,1192,1582
492,390,1192,1582
493,390,1192,1582
494,390,1192,1582
495,390,1192,1582
496,390,1193,1583
497,390,1195,1585
498,390,1196,1586
499,390,1198,1588
500,390,1198,1588
501,390,1198,1588
502,390,1199,1589
503,390,1201,1591
504,390,1201,1591
505,390,1201,1591
506,390,1202,1592
507,390,1203,1593
508,390,1205,1595
509,390,1205,1595
510,390,1205,1595
511,390,1206,1596
512,390,1207,1597
513,390,1208,1598
514,390,1212,1602
515,390,1212,1602
516,390,1214,1604
517,390,1214,1604
518,390,1214,1604
519,390,1214,1604
520,390,1216,1606
521,390,1217,1607
522,390,1217,1607
523,390,1219,1609
524,390,1220,1610
